Set_ID,Name,Year,Theme,Theme_Group,Subtheme,Category,Packaging,Num_Instructions,Availability,Pieces,Minifigures,Owned,Rating,Total_Quantity,Current_Price
30111-1,The Lab,2011,Harry Potter,Licensed,Mini Building Set,Normal,Polybag,0,Promotional,34.0,1.0,5593.0,3.3,21.0,9.99
30130-1,Mini Black Pearl,2011,Pirates of the Caribbean,Licensed,Promotional,Normal,Polybag,1,Promotional,47.0,,1885.0,3.9,2.0,27.5
30131-1,Jack Sparrow's Boat,2011,Pirates of the Caribbean,Licensed,Promotional,Normal,Polybag,0,Promotional,22.0,1.0,2462.0,4.0,2.0,17.0
30132-1,Captain Jack Sparrow,2011,Pirates of the Caribbean,Licensed,Promotional,Normal,Polybag,0,Promotional,4.0,1.0,1835.0,3.9,10.0,18.6756
30140-1,ADU Walker,2011,Space,Action/Adventure,Alien Conquest,Normal,Polybag,0,Promotional,34.0,1.0,567.0,0.0,3.0,17.44
30141-1,Jetpack,2011,Space,Action/Adventure,Alien Conquest,Normal,Polybag,2,LEGO exclusive,19.0,1.0,3140.0,3.6,10.0,5.0
40015-1,Heart Book,2011,Seasonal,Miscellaneous,Valentine's Day,Normal,Polybag,0,LEGO exclusive,51.0,,776.0,0.0,2.0,25.0
40017-1,Easter Basket,2011,Seasonal,Miscellaneous,Easter,Normal,Polybag,0,LEGO exclusive,86.0,,1274.0,0.0,3.0,21.345
40019-1,Brickley the Sea Serpent,2011,Miscellaneous,Miscellaneous,,Normal,Polybag,0,LEGO exclusive,59.0,,1432.0,3.8,3.0,9.5
40020-1,Halloween Set,2011,Seasonal,Miscellaneous,Halloween,Normal,Polybag,0,LEGO exclusive,71.0,,1406.0,0.0,5.0,12.98
40021-1,Spiders Set,2011,Seasonal,Miscellaneous,Halloween,Normal,Polybag,0,LEGO exclusive,54.0,,823.0,0.0,2.0,5.89
40022-1,Mini Santa Set,2011,Seasonal,Miscellaneous,Christmas,Normal,Polybag,0,LEGO exclusive,72.0,,628.0,0.0,4.0,10.0
40024-1,Christmas Tree,2011,Seasonal,Miscellaneous,Christmas,Normal,Polybag,0,LEGO exclusive,77.0,,1479.0,3.6,3.0,9.99
40028-1,Mini Hogwarts Express,2011,Harry Potter,Licensed,Mini Building Set,Normal,Polybag,0,Promotional,64.0,,2390.0,3.4,6.0,20.0
88000-1,AAA Battery Box,2011,Power Functions,Technical,Accessories,Normal,Polybag,0,LEGO exclusive,1.0,,3877.0,3.7,65.0,26.99
88002-1,Train Motor,2011,Power Functions,Technical,Trains,Normal,Polybag,0,LEGO exclusive,7.0,,2899.0,3.9,31.0,20.0
853106-1,Ninjago Battle Arena,2011,Ninjago,Action/Adventure,Spinners,Extended,Other,0,LEGO exclusive,8.0,1.0,561.0,0.0,4.0,17.9174
853111-1,Ninjago Weapons Set + Lenticular Card,2011,Ninjago,Action/Adventure,Booster Pack,Extended,{Not specified},0,{Not specified},26.0,1.0,466.0,0.0,3.0,25.99
853176-1,Skeleton Mummy Battle Pack,2011,Pharaoh's Quest,Historical,Miscellaneous,Extended,Blister pack,0,LEGO exclusive,29.0,3.0,2250.0,3.6,12.0,26.6556
853219-1,Pirates of the Caribbean Battle Pack,2011,Pirates of the Caribbean,Licensed,Miscellaneous,Extended,Blister pack,0,LEGO exclusive,30.0,5.0,1380.0,4.2,4.0,49.99
853301-1,Alien Conquest Battle Pack,2011,Space,Action/Adventure,Alien Conquest,Extended,Blister pack,0,LEGO exclusive,31.0,5.0,1310.0,3.7,11.0,18.3402
853340-1,Minifigure Wedding Favour Set,2011,Miscellaneous,Miscellaneous,,Extended,Box,0,LEGO exclusive,24.0,2.0,3529.0,3.6,9.0,18.116
2856079-1,Creationary Booster Pack,2011,Games,Miscellaneous,Creationary,Extended,Blister pack,0,LEGO exclusive,10.0,,274.0,0.0,2.0,21.25
2856134-1,Ninjago Card Shrine,2011,Ninjago,Action/Adventure,Promotional,Extended,Polybag,0,LEGO exclusive,98.0,,561.0,0.0,2.0,10.0
2856197-1,Shadow ARF Trooper,2011,Star Wars,Licensed,Minifig Pack,Extended,Polybag,0,Promotional,5.0,1.0,2598.0,4.5,13.0,367.0057
3061-1,City Park Cafe,2012,Friends,Modern day,Heartlake City,Normal,Box,2,Retail,222.0,2.0,6252.0,3.6,1.0,44.7
3184-1,Adventure Camper,2012,Friends,Modern day,Great Outdoors,Normal,Box,4,Retail,309.0,2.0,4274.0,3.6,3.0,60.0
3185-1,Summer Riding Camp,2012,Friends,Modern day,Horseback Riding,Normal,Box,6,Retail,1112.0,4.0,2859.0,3.9,1.0,219.99
3188-1,Heartlake Vet,2012,Friends,Modern day,Heartlake City,Normal,Box,2,Retail,343.0,2.0,3983.0,3.7,3.0,70.0
3189-1,Heartlake Stables,2012,Friends,Modern day,Horseback Riding,Normal,Box,4,Retail,401.0,2.0,2899.0,3.8,1.0,125.0
3315-1,Olivia's House,2012,Friends,Modern day,Houses,Normal,Box,4,Retail,695.0,3.0,6248.0,3.7,2.0,125.0
3316-1,Friends Advent Calendar,2012,Friends,Modern day,Seasonal,Normal,Box,2,Retail - limited,212.0,2.0,2040.0,0.0,3.0,39.5
3817-1,The Flying Dutchman,2012,SpongeBob SquarePants,Licensed,,Normal,Box,2,Retail,241.0,3.0,3025.0,3.9,6.0,118.4695
3818-1,Bikini Bottom Undersea Party,2012,SpongeBob SquarePants,Licensed,,Normal,Box,2,Retail,471.0,4.0,1956.0,3.8,3.0,265.9936
3865-1,City Alarm,2012,Games,Miscellaneous,,Normal,Box,2,Retail,247.0,6.0,1874.0,3.8,1.0,50.0
3874-1,Ilrion,2012,Games,Miscellaneous,Heroica,Normal,Box,2,Retail,240.0,8.0,1363.0,3.8,5.0,30.0
3920-1,The Hobbit: An Unexpected Journey,2012,Games,Miscellaneous,Licensed,Normal,Box,2,Retail,394.0,4.0,1936.0,3.8,5.0,33.2648
